Id,Infomap
316609,0
5011,0
439696,1
12389,1
60059,2
6929,2
161345,3
8614,3
137487,4
759,4
57587,5
107757,5
397696,6
6940,6
436988,7
71,7
43994,8
90976,8
124554,9
286277,9
189395,10
97700,11
162293,11
427934,12
46803,12
237395,13
284372,13
256336,14
31549,14
113665,15
503,15
91356,16
32652,16
173861,17
88,17
274148,18
274149,18
171699,19
1274,19
203156,20
2994,20
62045,21
15,22
154893,23
32098,23
12866,24
22252,24
425029,25
35248,25
379679,26
2417,26
265505,27
112050,27
7363,28
396581,28
86142,29
16452,30
253856,31
5226,31
85796,31
357993,32
111667,32
233022,33
7932,33
821,34
94891,34
133528,35
250519,35
236304,36
56771,36
71457,7
69597,37
11921,38
6999,17
107893,39
16358,39
251752,17
3998,17
158380,40
52504,40
11680,41
1988,42
185346,43
392959,43
6800,44
2055,45
39671,46
154603,46
73254,47
29378,47
3228,48
13537,49
177507,50
216,50
61358,51
21273,51
370779,52
26677,52
272461,53
146122,53
225193,54
220,54
126681,12
27095,55
8438,55
76782,56
305239,57
16613,26
424421,17
40939,17
177767,58
5005,58
110041,59
76634,59
86128,50
429956,60
11792,61
78860,62
2156,62
226066,63
65634,63
228315,64
106226,64
392123,65
11565,65
70461,66
11946,66
120793,67
9797,67
260270,68
383,68
188556,69
161378,70
175223,70
455874,71
2177,71
169365,72
190881,72
292256,73
64152,73
62579,74
14621,74
53342,75
53360,75
307829,76
358743,76
222163,0
221874,77
1548,77
331338,78
294416,78
388398,79
3235,79
307876,80
377924,80
310821,81
1574,81
67087,82
7034,82
76740,83
13222,83
43055,84
71909,84
441455,85
62542,85
88702,86
110370,87
416768,87
42916,88
130629,88
95081,89
49685,90
227347,91
18320,91
596,92
2668,92
130058,93
26244,93
11757,94
4214,95
288546,96
41747,96
98117,69
677,69
109608,97
25089,97
130898,67
11666,98
454136,17
199526,17
6820,99
6005,99
116010,17
13813,17
3656,100
106142,101
50434,101
154389,102
51762,102
75966,39
177656,103
225418,103
382080,104
42922,104
56947,105
8219,105
296851,12
5193,12
166461,71
168568,106
164225,106
319571,17
47794,107
410590,108
59195,108
355369,109
23973,110
511,111
293265,112
321295,112
274641,113
31534,113
303386,114
857,114
169889,115
67282,115
194543,108
56792,6
13311,116
122957,117
2671,117
71891,17
69815,118
2356,118
208675,119
115543,119
251191,15
3547,120
193543,120
262394,121
47490,121
141114,122
52687,122
235726,123
14813,123
117488,124
59167,125
98784,17
406926,126
7930,126
369537,127
16783,127
285093,128
8077,128
280228,129
1062,130
338164,17
4259,17
423395,71
18921,17
144864,131
11844,131
226170,132
37820,132
210099,133
310,133
81415,134
365,134
147761,135
54479,135
393389,127
301556,17
454664,136
35080,136
208459,137
2014,38
165626,138
328597,38
213,38
131716,17
64911,17
71141,139
304124,139
156116,140
309343,140
15076,141
12005,141
368454,17
14072,142
47015,142
221100,143
5796,143
151967,68
301,68
56550,144
169929,144
6017,145
81632,146
75092,146
317460,108
169034,147
390640,67
3549,67
381690,121
438212,148
16801,148
357410,149
163,149
136336,150
7569,150
86335,151
182607,151
185398,152
8498,152
166075,153
5410,154
52919,155
42168,155
101271,156
75721,156
293949,157
12281,158
143384,159
188842,109
352,109
170253,26
4368,160
198465,161
43905,161
238179,67
25940,7
2010,7
129458,26
73922,69
185489,68
176971,162
23220,162
312130,153
1276,153
305543,163
49960,163
270381,164
279330,165
32665,165
380432,81
6644,81
58278,166
26139,167
228895,69
152874,168
44902,168
63401,169
32972,169
230102,22
126440,170
39410,170
136238,171
39547,171
55777,172
11213,172
23817,173
2237,173
773,174
387630,174
194654,69
66608,175
34248,175
27983,17
11599,176
4878,177
78961,177
450476,92
197725,17
302797,178
27723,179
417053,180
157539,180
327935,181
157907,182
33035,183
5957,183
418663,1
52182,184
256522,185
31240,185
422675,17
235119,186
105601,186
95289,187
7756,187
234650,188
19913,188
85627,189
17896,189
25606,190
64129,190
425423,85
115712,191
1373,191
280782,6
302271,192
138,193
183507,61
31868,194
31696,194
449321,113
247347,26
200349,17
17527,195
205,196
202936,197
5910,198
449,198
288694,199
49464,199
11030,200
13027,200
7056,201
11286,201
88952,202
50227,202
7903,42
50244,203
80426,203
44184,204
221,204
303052,205
78770,60
46117,60
241841,206
71994,206
28621,207
13234,207
64157,6
147753,208
14454,162
379630,209
13892,209
73451,210
20395,210
267269,211
32620,212
6618,212
10264,213
12931,214
228896,215
11891,215
126980,216
2874,216
131729,217
349,218
179070,219
2836,219
127376,220
105438,220
392900,61
219563,17
126557,38
23095,42
32204,42
46587,221
3758,221
98762,222
9025,223
48742,155
52926,155
22823,224
13239,225
255907,226
8606,226
65495,227
27030,227
234178,228
234177,228
48843,26
330886,229
14727,229
92934,230
92920,230
15488,231
236018,85
26753,85
67507,232
67466,232
127964,233
36315,234
47981,234
233827,69
28951,42
279205,235
109401,236
174362,17
330106,85
12183,85
23318,153
43,237
64997,238
112162,239
154413,239
130654,218
26,218
163812,240
216453,240
335263,241
208328,39
446573,17
60534,242
78887,46
264577,54
210246,69
305173,243
1997,243
155537,17
41583,237
379086,244
31957,244
103545,245
115136,246
22924,246
450536,54
179166,247
74012,248
10179,249
4107,42
13808,110
235206,250
194601,250
121289,251
92584,252
69471,253
21057,254
185990,255
11364,255
6338,256
340736,257
2280,257
10277,110
393630,258
206,258
20368,26
166202,38
322,38
439,259
12751,110
100090,260
36100,260
389,261
12824,261
256660,26
416048,17
31287,262
74324,262
188852,17
16695,263
196908,263
439094,193
456499,264
56698,264
50970,265
32424,265
330777,214
9903,214
383321,266
67382,110
178903,267
178901,267
409307,4
2817,268
158456,269
70155,269
322144,270
13138,270
133306,68
280008,110
23181,162
284962,108
7533,108
173843,271
11102,210
83865,210
115385,272
4076,272
175027,273
