Id,Louvaine
316609,0
5011,0
439696,1
12389,1
60059,2
6929,2
161345,3
8614,3
137487,4
759,4
57587,5
107757,5
397696,2
6940,2
436988,6
71,6
43994,7
90976,7
124554,8
286277,8
189395,9
97700,10
162293,10
427934,11
46803,11
237395,12
284372,12
256336,13
31549,13
113665,14
503,14
91356,15
32652,15
173861,9
88,9
274148,16
274149,16
171699,17
1274,17
203156,18
2994,18
62045,17
15,17
154893,7
32098,7
12866,15
22252,15
425029,7
35248,7
379679,19
2417,19
265505,20
112050,20
7363,19
396581,19
86142,2
16452,21
253856,22
5226,22
85796,22
357993,23
111667,23
233022,24
7932,24
821,25
94891,25
133528,26
250519,26
236304,167
56771,167
71457,6
69597,28
11921,29
6999,9
107893,2
16358,2
251752,9
3998,9
158380,30
52504,30
11680,31
1988,32
185346,33
392959,33
6800,34
2055,34
39671,62
154603,62
73254,36
29378,36
3228,32
13537,37
177507,38
216,38
61358,39
21273,39
370779,40
26677,40
272461,40
146122,40
225193,41
220,42
126681,9
27095,9
8438,9
76782,9
305239,19
16613,19
424421,9
40939,9
177767,43
5005,43
110041,40
76634,40
86128,38
429956,10
11792,10
78860,44
2156,44
226066,10
65634,10
228315,14
106226,14
392123,45
11565,45
70461,44
11946,44
120793,46
9797,46
260270,28
383,28
188556,9
161378,47
175223,47
455874,31
2177,31
169365,9
190881,46
292256,48
64152,48
62579,7
14621,7
53342,7
53360,7
307829,49
358743,49
222163,0
221874,28
1548,28
331338,50
294416,50
388398,40
3235,40
307876,2
377924,2
310821,51
1574,51
67087,250
7034,250
76740,53
13222,53
43055,54
71909,54
441455,55
62542,55
88702,22
110370,56
416768,56
42916,57
130629,51
95081,2
49685,2
227347,44
18320,44
596,34
2668,34
130058,58
26244,58
11757,32
4214,59
288546,60
41747,60
98117,31
677,31
109608,32
25089,32
130898,11
11666,11
454136,9
199526,9
6820,61
6005,61
116010,9
13813,9
3656,62
106142,32
50434,32
154389,42
51762,42
75966,7
177656,32
225418,32
382080,63
42922,63
56947,9
8219,9
296851,32
5193,32
166461,31
168568,64
164225,64
319571,9
47794,45
410590,7
59195,7
355369,46
23973,31
511,22
293265,65
321295,65
274641,13
31534,13
303386,22
857,22
169889,66
67282,66
194543,7
56792,2
13311,32
122957,37
2671,37
71891,9
69815,45
2356,45
208675,10
115543,10
251191,14
3547,22
193543,29
262394,67
47490,67
141114,68
52687,68
235726,31
14813,31
117488,2
59167,2
98784,9
406926,56
7930,56
369537,7
16783,7
285093,69
8077,69
280228,70
1062,70
338164,250
4259,250
423395,31
18921,9
144864,40
11844,40
226170,56
37820,56
210099,71
310,71
81415,32
365,32
147761,72
54479,72
393389,7
301556,9
454664,73
35080,73
208459,29
2014,29
165626,9
328597,29
213,29
131716,9
64911,9
71141,74
304124,74
156116,75
309343,75
15076,9
12005,10
368454,9
14072,2
47015,2
221100,29
5796,29
151967,28
301,28
56550,10
169929,10
6017,44
81632,43
75092,43
317460,7
169034,76
390640,46
3549,46
381690,67
438212,9
16801,9
357410,4
163,4
136336,167
7569,167
86335,77
182607,77
185398,18
8498,18
166075,32
5410,78
52919,67
42168,67
101271,69
75721,69
293949,1
12281,1
143384,9
188842,46
352,46
170253,19
4368,31
198465,40
43905,40
238179,46
25940,6
2010,6
129458,19
73922,31
185489,28
176971,79
23220,79
312130,32
1276,32
305543,80
49960,80
270381,81
279330,82
32665,82
380432,51
6644,51
58278,37
26139,37
228895,31
152874,83
44902,83
63401,2
32972,2
230102,17
126440,31
39410,31
136238,84
39547,84
55777,85
11213,85
23817,86
2237,86
773,44
387630,57
194654,31
66608,157
34248,157
27983,9
11599,9
4878,2
78961,2
450476,34
197725,9
302797,9
27723,22
417053,88
157539,88
327935,19
157907,32
33035,89
5957,89
418663,1
52182,44
256522,13
31240,13
422675,9
235119,69
105601,69
95289,90
7756,90
234650,2
19913,2
85627,22
17896,22
25606,10
64129,10
425423,55
115712,59
1373,59
280782,2
302271,78
138,34
183507,10
31868,167
31696,167
449321,13
247347,19
200349,9
17527,56
205,11
202936,32
5910,22
449,22
288694,6
49464,6
11030,91
13027,91
7056,92
11286,92
88952,2
50227,2
7903,9
50244,63
80426,63
44184,22
221,22
303052,22
78770,70
46117,70
241841,93
71994,93
28621,94
13234,94
64157,2
147753,31
14454,79
379630,95
13892,95
73451,96
20395,96
267269,32
32620,22
6618,22
10264,44
12931,44
228896,18
11891,18
126980,40
2874,40
131729,32
349,32
179070,69
2836,69
127376,9
105438,9
392900,10
219563,9
126557,29
23095,32
32204,32
46587,10
3758,10
98762,9
9025,2
48742,67
52926,67
22823,10
13239,28
255907,63
8606,63
65495,9
27030,9
234178,97
234177,97
48843,19
330886,51
14727,51
92934,6
92920,6
15488,22
236018,55
26753,55
67507,44
67466,44
127964,9
36315,69
47981,69
233827,31
28951,32
279205,98
109401,94
174362,9
330106,55
12183,55
23318,32
43,41
64997,2
112162,250
154413,250
130654,32
26,32
163812,46
216453,46
335263,9
208328,2
446573,9
60534,62
78887,62
264577,42
210246,31
305173,6
1997,6
155537,9
41583,41
379086,99
31957,99
103545,32
115136,40
22924,40
450536,42
179166,32
74012,10
10179,44
4107,22
13808,22
235206,100
194601,100
121289,51
92584,51
69471,25
21057,25
185990,44
11364,44
6338,62
340736,51
2280,51
10277,22
393630,101
206,101
20368,22
166202,29
322,29
439,22
12751,22
100090,48
36100,48
389,44
12824,44
256660,19
416048,250
31287,7
74324,7
188852,9
16695,51
196908,51
439094,34
456499,102
56698,102
50970,25
32424,25
330777,44
9903,44
383321,22
67382,22
178903,103
178901,103
409307,4
2817,91
158456,104
70155,104
322144,105
13138,105
133306,28
280008,22
23181,22
284962,7
7533,7
173843,1
11102,96
83865,96
115385,94
4076,94
